source,target
abjat,abjad
da,ada
ad,ada
adek,adik
adpokat,advokat
afdol,afdal
agamawan,ahli agama
z,aja
ajk,ajak
ajakin,ajaki
ahlak,akhlak
aktip,aktif
aktifitas,aktivitas
ane,aku
aq,aku
aqu,aku
eke,aku
eyke,aku
gua,aku
ak,aku
q,aku
almt,alamat

alm,almarhum
ambeyen,ambeien
ambulan,ambulans
amandemen,amendemen
amphibi,amfibi
amvun,ampun
ank,anak
alay,anak layangan
analisa,analisis
handal,andal
anggep,anggap
agp,anggap
anying,anjing
anjay ,anjing kamu alay
antene,antena
antri,antre
anugrah,anugerah
apaa,apa
apah,apa
pa,apa
ap,apa
apaya,apa ya
apayaa,apa ya
apakh,apakah
apain,apakan
apalgi,apalagi
aposeh,apasih
amsyong,apes
apotik,apotek
azas,asas
astronot,astronaut
asek,asyik
asik,asyik
asyek,asyik
asyekk,asyik
ato,atau
atw,atau
atheis,ateis
atlit,atlet
atmosfir,atmosfer
autis,autisme
awl,awal
babe,ayah
bokap,ayah
ayok,ayo
ayuk,ayo
ayukz,ayo
yo,ayo
yok,ayo
yukk,ayo
yukz,ayo
yuq,ayo
ayk,ayuk
adzan,azan
boker,bab
bacain,bacakan
bdan,badan
begimana,bagaimana
gimana,bagaimana
bgmn,bagaimana
bag,bagian
bg,bagian
bgian,bagian
ajib,bagus
cakep,bagus
bgs,bagus
bgus,bagus
bhs,bahasa
bhsa,bahasa
bhw,bahwa
ajib,baik
bju,baju
bkr,bakar
balan,balans
bales,balas
bls,balas
balesin,balaskan
balsem,balsam
bences,banci
bencong,banci
lekong,banci
bngt,banget
bgst,bangsat
bangunin,bangunkan
bantuin,bantu
banyakk,banyak
bnyak,banyak
bnyk,banyak
byk,banyak
banyakin,banyaki
bp,bapak
bpk,bapak
brg,barang
brng,barang
bru,baru
bsh,basah
batalyon,batalion
batre,baterai
baterei,baterai
batrenya,baterainya
bw,bawa
baper,bawa perasaan
bayangin,bayangkan
byr,bayar
bbrapa,beberapa
bbrp,beberapa
gini,begini
bgini,begini
g7,begitu
gitchu,begitu
bgt,begitu
bgtu,begitu
blkg,belakang
blkng,belakang
bli,beli
bliau,beliau
beliin,belikan
blom,belum
lom,belum
belom,belum
blm,belum
blum,belum
lum ,belum
bener,benar
bner,benar
benr,benar
bnar,benar
bnerz,benar
bnr,benar
benar2,benar-benar
bnda,benda
bntr,bentar
brandal,berandal
brp,berapa
brpa,berapa
brarti,berarti
brasa,berasa
beberes,beres-beres
berhrap,berharap
kopel,berpasangan
berfikir,berpikir
bsar,besar
bsr,besar
esok,besok
bsk,besok
bsok,besok
betoel,betul
bikinin,bikinkan
blg,bilang
biosfir,biosfer
bs,bisa
bsa,bisa
blangko,blanko
bodo,bodoh
boong,bohong
boongnya,bohongnya
bkng,bokong
bleh,boleh
blh,boleh
bolehin,bolehkan
bosen,bosan
bosenin,bosan
ngebosenin,bosan
bete,bosan total
bsn,bosen
btol,botol
brangkas,brankas
bwt,buat
buatin,buatkan
bubarin,bubarkan
budhe,bude
bukde,bude
budeg,budek
budjet,bujet
bukak,buka
bk,buka
bka,buka
bkn,bukan
bukanny,bukannya
blan,bulan
bln,bulan
bulet,bulat
bulutangkis,bulu tangkis
bis,bus
anjir,buset
butu,butuh
cabe,cabai
cacimaki,caci maki
cntik,cantik
cntk,cantik
capek,capai
cape,capek
cr,cara
cidera,cedera
clana,celana
cendikiawan,cendekiawan
cinderamata / cenderamata,cendera mata
cengkram,cengkeram
cengkeh,cengkih
cepet,cepat
cpt,cepat
ceramahin,ceramahkan
nyinyir,cerewet
critanya,ceritanya
cewe,cewek
cewee,cewek
ce,cewek
cew,cewek
cw,cewek
cewenya,ceweknya
cobain,coba
coklat,cokelat
cnth,contoh
co,contoh
cth,contoh
cowo,cowok
cbt,cubit
cuekin,cuek
ckp,cukup
cm,cuma
cmn,cuman
daptar,daftar
dftar,daftar
dulu,dahulu
dulunya,dahulunya
drpada,daipada
dlam,dalam
dlm,dalam
otewe,dalam perjalanan
dn,dan
dll,dan lain lain
dsb,dan sebagainya
dapet,dapat
dapetin,dapat
dpt,dapat
dr,dari
dri,dari
dprd,daripada
drpd,daripda
dateng,datang
dtg,datang
dtng,datang
datengnya,datangnya
debitor,debitur
deket,dekat
dket,dekat
dkat,dekat
dkt,dekat
dekrit,dekret
dg,dengan
dgn,dengan
dng,dengan
denger,dengar
dgr,dengar
dnger,dengar
dngr,dengar
dgrin,dengarkan
dngerin,dengarkan
dengernya,dengarnya
dpan,depan
dpn,depan
depo,depot
dermawand,dermawan
designnya,desainnya
detil,detail
defiasi,deviasi
otw,di jalan
doi,dia
diagnosa,diagnosis
diem,diam
diampunin,diampuni
dicengin,diangguri
anggurin,dianggurkan
diblkg,dibelakang
dibeliin,dibelikan
dibersihin,dibersihkan
dibolehinnya,dibolehkannya
dibuatin,dibuatkan
didengerin,didengarkan
digabungin,digabungkan
diapalin,dihapalkan
dihilangin,dihilangkan
dijadiin,dijadikan
dijulukin,dijuluki
dikantongin,dikantongkan
dikeatasin,dikeataskan
dikirimin,dikirimkan
dimaklumin,dimaklumkan
dimanaa,dimana
dimatiin,dimatikan
dimudain,dimudahkan
diolokin,dioloki
dinyinyirin,diomongi
diomongin,diomongi
dipake,dipakai
dipinjemin,dipinjami
digebug,dipukul
diputusin,diputusi
diracunin,diracuni
disbbkan,disebabkan
diselesein,diselesaikan
disimpen,disimpan
dsni,disini
diskotik,diskotek
